"LOCATCD","Long","Lat"
"LM00.5M",-90.5203929995177,39.9882745028978
"MK04.4M",-89.7327029849811,40.5306284745219
"S000.2K",-90.0743629869145,40.3056668898612
"SG16.2C",-90.146570491019,40.0644227350605
"BM00.7S",-89.5095098431751,37.5783361953783
"HD00.9M",-89.5277179136677,37.2446219597025
"AL02.3M",-90.2369543246071,42.1878485558798
"MQ02.1M",-90.3354435438258,42.163808291743
"RK00.1M",-90.2917793435278,41.7792436213834
"RK03.7M",-90.3159475276553,41.7986424983302
"WP02.6M",-90.359711110974,41.7276370661246
"CU11.6M",-90.7488748712314,38.9241824555571
"DC01.0M",-90.5491256288946,38.8528291232098
"PE01.8M",-90.6579784953015,38.8837034973165
"PI00.2M",-90.2884872884345,38.9391292037084
"CH00.1M",-92.0841742493497,44.4102262799172
"CN00.1M",-92.5935292587688,44.6034022644053
"VM00.1M",-92.5931675040132,44.6038683167878
"BK14.2M",-91.3399077846769,43.9595875867115
"BX00.4M",-91.2155829283145,43.5209102339844
"CC00.6M",-91.2192782531987,43.6475278978131
"LX00.1M",-91.2538581777718,43.8193668866948
"R000.1M",-91.252892307013,43.7621123228939
"UI02.9M",-91.2948481969619,43.4742902636781
